locus	log2FoldChange	padj	symbol	description
AT1G01010	0.540303237911448	0.00964448382269221	NAC001	NAC domain containing protein 1
AT1G01020	-0.912086183854752	0.0386069135921363	ARV1	ARV1 family protein
AT1G01030	-0.21915971031441	0.769280971787127	NGA3	AP2/B3-like transcriptional factor family protein
AT1G01040	-0.0802122733443551	0.809396410789212	DCL1	dicer-like 1
AT1G01046			MIR838A	
AT1G01050	-0.163090490455753	0.697789946910099	PPa1	pyrophosphorylase 1
AT1G01060	-1.50724752342419	0.00252396496054953	LHY	Homeodomain-like superfamily protein
AT1G01070	-0.138350417112167	0.935187759889519	UMAMIT28	nodulin MtN21 /EamA-like transporter family protein
AT1G01080	-0.417702298542784	0.0678177759620626		RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G01090	-0.2358107535378	0.185338331159882	PDH-E1 ALPHA	pyruvate dehydrogenase E1 alpha
AT1G01100	-0.057765911958778	0.792458067919316		60S acidic ribosomal protein family
AT1G01110	0.312400952127349	0.282798363431123	IQD18	IQ-domain 18
AT1G01120	-0.35962552442895	0.601814997491136	KCS1	3-ketoacyl-CoA synthase 1
AT1G01130	0.0906767210680167	0.932028012546571		CBL-interacting Serine/Threonine-kinase
AT1G01140	-0.505264348993924	0.0031959690309773	CIPK9	CBL-interacting protein kinase 9
AT1G01150	-0.313317037081117	0.963099013274428		Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
AT1G01160	0.260963249257742	0.257567059455991	GIF2	GRF1-interacting factor 2
AT1G01170	-0.0325458573473872	0.969114769238496		ozone-responsive stress-like protein (DUF1138)
AT1G01180	0.399047588489226	0.178375742501113		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G01183			MIR165A	
AT1G01190	0.508908534029038	0.803557791645974	CYP78A8	cytochrome P450%2C family 78%2C subfamily A%2C polypeptide 8
AT1G01200	1.13540454522116	0.236038321606936	RABA3	RAB GTPase homolog A3
AT1G01210	0.249928328513024	0.276023193089748		DNA-directed RNA polymerase%2C subunit M%2C archaeal
AT1G01220	-0.0840134115147801	0.720528202473448	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01225	-0.18589186613395	0.768691705764889		NC domain-containing protein-like protein
AT1G01230	-0.0137461645168334	0.992257757739207		ORMDL family protein
AT1G01240	-0.0583865575588261	0.810122848941281		transmembrane protein
AT1G01250	-0.522636665024082	0.649510316873563		Integrase-type DNA-binding superfamily protein
AT1G01260	-0.480563926534533	0.00162074197824226		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01270				
AT1G01280	-0.790418279364181	0.973527233305831	CYP703A2	cytochrome P450%2C family 703%2C subfamily A%2C polypeptide 2
AT1G01290	-0.00799295286905806	1.0	CNX3	cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01300	-0.157130314586149	0.575839903696808		Eukaryotic aspartyl protease family protein
AT1G01305	-1.6286028112625	0.935799100632717		hypothetical protein
AT1G01310	-0.0525438365292803	1.0		CAP (Cysteine-rich secretory proteins%2C Antigen 5%2C and Pathogenesis-related 1 protein) superfamily protein
AT1G01320	-0.0139125009668273	1.0		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01335				auxin-responsive endogenous peptide protein
AT1G01340	0.581479788672937	0.00984296763587217	CNGC10	cyclic nucleotide gated channel 10
AT1G01350	0.248322141886497	0.110183760459266		Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT1G01355	0.490092886862448	0.704459391102326		Putative endonuclease or glycosyl hydrolase
AT1G01360	-0.265110875624595	0.330646135099674	RCAR1	regulatory component of ABA receptor 1
AT1G01370	0.455295943282763	0.370882030530485	HTR12	Histone superfamily protein
AT1G01380	-1.20540816521323	0.215974714780646	ETC1	Homeodomain-like superfamily protein
AT1G01390	0.937181811598165	0.266456726450779		UDP-Glycosyltransferase superfamily protein
AT1G01400	0.64212754810518	0.962571125945571		hypothetical protein
