locus	log2FoldChange	padj	symbol	description
AT1G01010	0.575039429721505	0.00185089401326566	NAC001	NAC domain containing protein 1
AT1G01020	-0.397241269143153	0.402461182118438	ARV1	ARV1 family protein
AT1G01030	-0.382829950859594	0.359910939077874	NGA3	AP2/B3-like transcriptional factor family protein
AT1G01040	-0.155953961091995	0.364398330570871	DCL1	dicer-like 1
AT1G01046			MIR838A	
AT1G01050	-0.189622612049266	0.509925335813985	PPa1	pyrophosphorylase 1
AT1G01060	-2.26153852682448	2.97999176052452e-07	LHY	Homeodomain-like superfamily protein
AT1G01070	1.48259425848267	0.000100816242730255	UMAMIT28	nodulin MtN21 /EamA-like transporter family protein
AT1G01080	-0.152969202583429	0.567907474048246		RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G01090	-0.48207985510643	0.000285690966593631	PDH-E1 ALPHA	pyruvate dehydrogenase E1 alpha
AT1G01100	0.134505258889538	0.221009014792406		60S acidic ribosomal protein family
AT1G01110	-0.0522257264467471	0.922229448203094	IQD18	IQ-domain 18
AT1G01120	-1.09146661949277	0.00597970635311767	KCS1	3-ketoacyl-CoA synthase 1
AT1G01130	-1.26686088391763	1.18561762803344e-06		CBL-interacting Serine/Threonine-kinase
AT1G01140	-1.90952710307214	7.94540545087376e-42	CIPK9	CBL-interacting protein kinase 9
AT1G01150	-2.13026239657124	0.204970986335223		Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
AT1G01160	0.213052179246771	0.293855777187171	GIF2	GRF1-interacting factor 2
AT1G01170	-0.283536588404111	0.100019009132178		ozone-responsive stress-like protein (DUF1138)
AT1G01180	0.185641044096877	0.563501147475937		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G01183			MIR165A	
AT1G01190	1.08930522575608	0.268937765296972	CYP78A8	cytochrome P450%2C family 78%2C subfamily A%2C polypeptide 8
AT1G01200	1.53766008509266	0.0329520995000445	RABA3	RAB GTPase homolog A3
AT1G01210	0.290925665290223	0.108391319186567		DNA-directed RNA polymerase%2C subunit M%2C archaeal
AT1G01220	-0.09686902086096	0.540432347704197	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01225	-0.408499773874982	0.217947201524889		NC domain-containing protein-like protein
AT1G01230	-0.244221790445405	0.0847124969266436		ORMDL family protein
AT1G01240	-0.090772615392875	0.502601991513779		transmembrane protein
AT1G01250	-1.70413831236421	0.0136590100272903		Integrase-type DNA-binding superfamily protein
AT1G01260	-0.632845240995855	2.55090512204513e-06		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01270				
AT1G01280	-1.09888943204994	0.922229448203094	CYP703A2	cytochrome P450%2C family 703%2C subfamily A%2C polypeptide 2
AT1G01290	0.081969670479769	0.703814369681024	CNX3	cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01300	-0.647004897152185	4.26667320512193e-05		Eukaryotic aspartyl protease family protein
AT1G01305	-1.93707396394826	0.848250058147034		hypothetical protein
AT1G01310	-3.05139033303366	0.0016447755243795		CAP (Cysteine-rich secretory proteins%2C Antigen 5%2C and Pathogenesis-related 1 protein) superfamily protein
AT1G01320	-0.174318100744501	0.564192565791438		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01335				auxin-responsive endogenous peptide protein
AT1G01340	0.674968563650352	0.000650951533467095	CNGC10	cyclic nucleotide gated channel 10
AT1G01350	0.202717806054036	0.147518802717523		Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT1G01355	0.427712582384	0.666101002160017		Putative endonuclease or glycosyl hydrolase
AT1G01360	-0.0297901513507631	0.938251026273507	RCAR1	regulatory component of ABA receptor 1
AT1G01370	0.84954423444714	0.014779499998202	HTR12	Histone superfamily protein
AT1G01380	0.173179411721846	0.908528497559835	ETC1	Homeodomain-like superfamily protein
AT1G01390	1.28503254308379	0.0440564602917252		UDP-Glycosyltransferase superfamily protein
AT1G01400	0.454010989386563	0.937070871362924		hypothetical protein
AT1G01410	-3.80977977270226	0.231223280819676	PUM22	pumilio 22
AT1G01420	0.368102519414268	0.138269892761596	UGT72B3	UDP-glucosyl transferase 72B3
AT1G01430	-0.205136593473545	0.297406453832683	TBL25	TRICHOME BIREFRINGENCE-LIKE 25
AT1G01440	-0.260412878161333	0.181100357405192		hypothetical protein (DUF3133)
AT1G01448	-0.215379756216589	0.16796456667399		Natural antisense transcript overlaps with AT1G01450
AT1G01450				Protein kinase superfamily protein
AT1G01453	1.4751290218864	0.241243886563615		late embryogenesis abundant hydroxyproline-rich glycoprotein family protein
AT1G01460	-3.79823682462298	0.178812526373485	PIPK11	Phosphatidylinositol-4-phosphate 5-kinase%2C core
AT1G01470	-1.66069532749068	4.35371857922683e-13	LEA14	Late embryogenesis abundant protein
AT1G01480	0.550941016000102	0.168675518913242	ACS2	1-amino-cyclopropane-1-carboxylate synthase 2
AT1G01490	0.174089410929624	0.527677929352801		Heavy metal transport/detoxification superfamily protein
AT1G01500	-0.1823781100321	0.290222718450594		Erythronate-4-phosphate dehydrogenase family protein
AT1G01510	-0.435129587435377	0.000971392736866381	AN	NAD(P)-binding Rossmann-fold superfamily protein
AT1G01520	-3.01082535901582	0.00014338077467167	ASG4	Homeodomain-like superfamily protein
AT1G01530	0.885983315429792	0.937070871362924	AGL28	AGAMOUS-like 28
AT1G01540	-0.380173108896754	0.106946279899172		Protein kinase superfamily protein
AT1G01550	-0.441987218307369	2.9209762991057e-06	BPS1	BPS1-like protein (DUF793)
AT1G01560	-2.55703354490564	1.17399034384801e-14	MPK11	MAP kinase 11
AT1G01570	-0.800387970234315	0.00585485495469694		transferring glycosyl group transferase (DUF604)
AT1G01580	-0.439251689521307	0.78621350293899	FRO2	ferric reduction oxidase 2
AT1G01590	-1.97291642483754	0.114935739156643	FRO1	ferric reduction oxidase 1
AT1G01600	-0.388269501186001	0.358201815890982	CYP86A4	cytochrome P450%2C family 86%2C subfamily A%2C polypeptide 4
AT1G01610	-0.749400073365099	0.00689711238511136	GPAT4	glycerol-3-phosphate acyltransferase 4
AT1G01620	-0.0588708265098475	0.903972551475957	PIP1C	plasma membrane intrinsic protein 1C
AT1G01630	-0.302534456180509	0.385235493332288		Sec14p-like phosphatidylinositol transfer family protein
AT1G01640	1.59301584653658	3.958767534975e-11		BTB/POZ domain-containing protein
AT1G01650	-0.560096400571611	9.9883242572963e-05	SPPL4	SIGNAL PEPTIDE PEPTIDASE-LIKE 4
AT1G01660	0.568570360516213	0.311972005207108		RING/U-box superfamily protein
AT1G01670	0.688746598062533	0.0718576988426296		RING/U-box superfamily protein
AT1G01680	2.30765733486845	8.92094426773073e-05	PUB54	plant U-box 54
AT1G01690	0.772534679810425	0.0188843354803089	PRD3	putative recombination initiation defects 3
AT1G01695	-0.172609315742391	0.937070871362924	TRM33	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein
AT1G01700	-0.107933360283176	0.914776737359144	ROPGEF2	RHO guanyl-nucleotide exchange factor 2
AT1G01710	-0.0500923393914983	0.768653231330292		acyl-CoA thioesterase II
AT1G01715	-0.170708294690336	0.767120377363838		hypothetical protein
AT1G01720	-1.88404952828336	2.13400030161788e-43	ATAF1	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G01725	-0.478266942253038	0.222094978287461		adenylosuccinate synthetase
AT1G01730	0.292091463158693	0.0913610293729205		hypothetical protein
AT1G01740	-0.568886921388736	0.0071097173439708	BSK4	kinase with tetratricopeptide repeat domain-containing protein
AT1G01750	-0.70916458594925	0.80713662201019	ADF11	actin depolymerizing factor 11
AT1G01760	-0.0968920452226928	0.820547978586216		denosine deaminases acting on tRNA
AT1G01770	-0.34953232741775	0.0552441845522957		propionyl-CoA carboxylase
