locus	log2FoldChange	padj	symbol	description
AT1G01010	0.494990992370656	0.0166390891434804	NAC001	NAC domain containing protein 1
AT1G01020	-0.476579122962976	0.338808963345032	ARV1	ARV1 family protein
AT1G01030	-0.364971775070768	0.448813358155367	NGA3	AP2/B3-like transcriptional factor family protein
AT1G01040	-0.0370102827710068	0.932367941946166	DCL1	dicer-like 1
AT1G01046			MIR838A	
AT1G01050	-0.620559998518489	0.00690981133013364	PPa1	pyrophosphorylase 1
AT1G01060	0.0835286153542669	0.963265945323509	LHY	Homeodomain-like superfamily protein
AT1G01070	0.224953074100097	0.782649904489108	UMAMIT28	nodulin MtN21 /EamA-like transporter family protein
AT1G01080	-0.424135862901871	0.0501779076921961		RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G01090	-0.103275668215473	0.645217954089801	PDH-E1 ALPHA	pyruvate dehydrogenase E1 alpha
AT1G01100	0.0112598928386827	0.978330844895912		60S acidic ribosomal protein family
AT1G01110	-0.135977882286115	0.72999963064507	IQD18	IQ-domain 18
AT1G01120	-0.626141143786436	0.19872064243445	KCS1	3-ketoacyl-CoA synthase 1
AT1G01130	-0.475254010851945	0.148376648085895		CBL-interacting Serine/Threonine-kinase
AT1G01140	-1.18038844003229	1.01760823146473e-15	CIPK9	CBL-interacting protein kinase 9
AT1G01150	-2.14905029738472	0.271855309181195		Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
AT1G01160	0.396670093476181	0.0369151779370039	GIF2	GRF1-interacting factor 2
AT1G01170	0.0983861604686986	0.728602743437689		ozone-responsive stress-like protein (DUF1138)
AT1G01180	0.381013936110063	0.172607518393358		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G01183			MIR165A	
AT1G01190	0.166492953576712	0.963265945323509	CYP78A8	cytochrome P450%2C family 78%2C subfamily A%2C polypeptide 8
AT1G01200	1.67513590851517	0.0305232338253039	RABA3	RAB GTPase homolog A3
AT1G01210	0.367745849280875	0.0516025717511124		DNA-directed RNA polymerase%2C subunit M%2C archaeal
AT1G01220	-0.290469542801333	0.0255197978673622	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01225	-0.846574466955553	0.0103890486268147		NC domain-containing protein-like protein
AT1G01230	-0.188604169915225	0.258252791540872		ORMDL family protein
AT1G01240	0.2410503457396	0.0323162139745803		transmembrane protein
AT1G01250	-0.0855116342190327	0.966593957785271		Integrase-type DNA-binding superfamily protein
AT1G01260	-0.495223380615451	0.000842397031399799		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01270				
AT1G01280	-0.763885747128605	0.963265945323509	CYP703A2	cytochrome P450%2C family 703%2C subfamily A%2C polypeptide 2
AT1G01290	0.0411661686311413	0.913876046829418	CNX3	cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01300	-0.519630715505062	0.00287989638845231		Eukaryotic aspartyl protease family protein
AT1G01305	-1.60206213808963	0.908041741019416		hypothetical protein
AT1G01310	-0.753792714826056	0.559826828057814		CAP (Cysteine-rich secretory proteins%2C Antigen 5%2C and Pathogenesis-related 1 protein) superfamily protein
AT1G01320	-0.423791416681304	0.0915714111859623		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01335				auxin-responsive endogenous peptide protein
AT1G01340	-0.472128578267289	0.0428298783696645	CNGC10	cyclic nucleotide gated channel 10
AT1G01350	0.370677370359538	0.00546987185179102		Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT1G01355	0.538541597879411	0.598093014190857		Putative endonuclease or glycosyl hydrolase
AT1G01360	0.0557681029460321	0.91767568651761	RCAR1	regulatory component of ABA receptor 1
AT1G01370	0.214012921667642	0.743798223626291	HTR12	Histone superfamily protein
AT1G01380	-0.448134516741167	0.705950541292557	ETC1	Homeodomain-like superfamily protein
AT1G01390	0.446402589936813	0.678917446777591		UDP-Glycosyltransferase superfamily protein
AT1G01400	1.19613866995884	0.811438122472347		hypothetical protein
