locus	log2FoldChange	padj	symbol	description
AT1G01010	0.0768530300852476	0.892627686748534	NAC001	NAC domain containing protein 1
AT1G01020	-0.00895559442382719	0.995120528704801	ARV1	ARV1 family protein
AT1G01030	-0.0839523730476669	0.926985018759614	NGA3	AP2/B3-like transcriptional factor family protein
AT1G01040	-0.157022275442151	0.235569878530823	DCL1	dicer-like 1
AT1G01046			MIR838A	
AT1G01050	-0.0395301732277778	0.93708777333873	PPa1	pyrophosphorylase 1
AT1G01060	-0.613400854536766	0.00353990861087505	LHY	Homeodomain-like superfamily protein
AT1G01070	0.41787319188741	0.440897027671052	UMAMIT28	nodulin MtN21 /EamA-like transporter family protein
AT1G01080	-0.0945540528475585	0.80601186795176		RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G01090	-0.26681539413756	0.065849295317531	PDH-E1 ALPHA	pyruvate dehydrogenase E1 alpha
AT1G01100	0.0914166752777213	0.688932914392607		60S acidic ribosomal protein family
AT1G01110	0.58534408636443	0.0261665003336179	IQD18	IQ-domain 18
AT1G01120	-0.194758957295417	0.591948749811644	KCS1	3-ketoacyl-CoA synthase 1
AT1G01130	-0.556905295456237	0.0244033880056389		CBL-interacting Serine/Threonine-kinase
AT1G01140	-0.561939895412519	5.98426325611489e-07	CIPK9	CBL-interacting protein kinase 9
AT1G01150	-1.35756445502788	0.414113720554679		Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
AT1G01160	-0.071440389977399	0.823973497677573	GIF2	GRF1-interacting factor 2
AT1G01170	-0.0891470207211147	0.804313367466291		ozone-responsive stress-like protein (DUF1138)
AT1G01180	-0.096757970230475	0.895770647820463		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G01183			MIR165A	
AT1G01190	1.84278238545429	3.37661390371258e-11	CYP78A8	cytochrome P450%2C family 78%2C subfamily A%2C polypeptide 8
AT1G01200	0.822064626210018	0.044580724504902	RABA3	RAB GTPase homolog A3
AT1G01210	-0.134852559866135	0.618768738565727		DNA-directed RNA polymerase%2C subunit M%2C archaeal
AT1G01220	0.00122991463146848	1.0	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01225	0.255751962764413	0.427800736630681		NC domain-containing protein-like protein
AT1G01230	0.000565385503636165	1.0		ORMDL family protein
AT1G01240	-0.0391700385001349	0.944205805843307		transmembrane protein
AT1G01250	-0.914209853171651	0.0798486952722512		Integrase-type DNA-binding superfamily protein
AT1G01260	-0.0483824897548752	0.9023470076343		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01270				
AT1G01280	-0.779011325046715	0.969948190159418	CYP703A2	cytochrome P450%2C family 703%2C subfamily A%2C polypeptide 2
AT1G01290	-0.0527868956927149	0.934933824647153	CNX3	cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01300	0.102863035954331	0.602746419234017		Eukaryotic aspartyl protease family protein
AT1G01305	-3.13035736608126	0.333218106598012		hypothetical protein
AT1G01310	-0.636970824869578	0.451970618874226		CAP (Cysteine-rich secretory proteins%2C Antigen 5%2C and Pathogenesis-related 1 protein) superfamily protein
AT1G01320	-0.277664064228526	0.0837521837146627		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01335	-0.779011325046716	0.969948190159418		auxin-responsive endogenous peptide protein
AT1G01340	0.640513685516063	0.00100571017162296	CNGC10	cyclic nucleotide gated channel 10
AT1G01350	-0.0137613644571979	0.973595712783803		Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT1G01355	-0.144189219298506	0.969948190159418		Putative endonuclease or glycosyl hydrolase
AT1G01360	-0.0494183505484513	0.905484788200613	RCAR1	regulatory component of ABA receptor 1
AT1G01370	0.537487330739055	0.123104630008819	HTR12	Histone superfamily protein
