locus	log2FoldChange	padj	symbol	description
AT1G01010	0.0728620153156596	0.987279993017767	NAC001	NAC domain containing protein 1
AT1G01020	0.0947784794798566	0.914780231560075	ARV1	ARV1 family protein
AT1G01030	0.0184313708832783	1.0	NGA3	AP2/B3-like transcriptional factor family protein
AT1G01040	-0.120787527155629	0.589956737502462	DCL1	dicer-like 1
AT1G01046			MIR838A	
AT1G01050	-0.139014922658391	0.531721752988369	PPa1	pyrophosphorylase 1
AT1G01060	-0.49689407191685	0.0431742505607677	LHY	Homeodomain-like superfamily protein
AT1G01070	-0.0678342356652585	1.0	UMAMIT28	nodulin MtN21 /EamA-like transporter family protein
AT1G01080	0.0123197200050518	1.0		RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G01090	-0.29049738151299	0.0580166644558005	PDH-E1 ALPHA	pyruvate dehydrogenase E1 alpha
AT1G01100	0.102019318746757	0.764780626908651		60S acidic ribosomal protein family
AT1G01110	0.332940845949633	0.508079098971991	IQD18	IQ-domain 18
AT1G01120	-0.0381246502663485	1.0	KCS1	3-ketoacyl-CoA synthase 1
AT1G01130	-0.510955646767796	0.0831194877696385		CBL-interacting Serine/Threonine-kinase
AT1G01140	-0.557164923879283	1.58943309877097e-06	CIPK9	CBL-interacting protein kinase 9
AT1G01150	-1.44332208138596	0.580471041178129		Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
AT1G01160	0.0198695717537708	1.0	GIF2	GRF1-interacting factor 2
AT1G01170	-0.0510863120615246	0.991664002459781		ozone-responsive stress-like protein (DUF1138)
AT1G01180	-0.0393642557956878	1.0		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G01183			MIR165A	
AT1G01190	2.04134235587996	3.09964178697361e-13	CYP78A8	cytochrome P450%2C family 78%2C subfamily A%2C polypeptide 8
AT1G01200	0.736322608042971	0.171852594455959	RABA3	RAB GTPase homolog A3
AT1G01210	-0.0173126885835446	1.0		DNA-directed RNA polymerase%2C subunit M%2C archaeal
AT1G01220	0.0226853194656715	1.0	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01225	0.165913611104683	0.874439589676583		NC domain-containing protein-like protein
AT1G01230	-0.0396322305939443	0.991664002459781		ORMDL family protein
AT1G01240	0.149443351466604	0.495066321818118		transmembrane protein
AT1G01250	-0.858858185908131	0.203138671750962		Integrase-type DNA-binding superfamily protein
AT1G01260	-0.0376048124650941	0.994266682717841		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01270				
