locus	log2FoldChange	padj	symbol	description
AT1G01010	-0.441594329561994	0.0730775858707172	NAC001	NAC domain containing protein 1
AT1G01020	0.481572574673059	0.230499974645154	ARV1	ARV1 family protein
AT1G01030	-0.299845087817531	0.492213463579931	NGA3	AP2/B3-like transcriptional factor family protein
AT1G01040	-0.636500158409203	0.00024731037793458	DCL1	dicer-like 1
AT1G01046			MIR838A	
AT1G01050	0.198200700447732	0.557387565558248	PPa1	pyrophosphorylase 1
AT1G01060	3.08442908897527	3.39137567972047e-23	LHY	Homeodomain-like superfamily protein
AT1G01070	-0.551568115145714	0.478041559930074	UMAMIT28	nodulin MtN21 /EamA-like transporter family protein
AT1G01080	0.245376885771468	0.481543327513378		RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G01090	-0.713666280430474	1.21366698944121e-06	PDH-E1 ALPHA	pyruvate dehydrogenase E1 alpha
AT1G01100	0.172435381518794	0.212095898362591		60S acidic ribosomal protein family
AT1G01110	0.231026513715291	0.675635246543981	IQD18	IQ-domain 18
AT1G01120	0.917119523905676	0.000891383363866063	KCS1	3-ketoacyl-CoA synthase 1
AT1G01130	0.779865105161137	0.0408987855716918		CBL-interacting Serine/Threonine-kinase
AT1G01140	1.5144261702025	1.04650970259194e-10	CIPK9	CBL-interacting protein kinase 9
AT1G01150	2.6935906992939	0.258494963862608		Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
AT1G01160	-0.0795933530676744	0.743073128426573	GIF2	GRF1-interacting factor 2
AT1G01170	-0.0484475312655103	0.890676961085236		ozone-responsive stress-like protein (DUF1138)
AT1G01180	0.145735329946191	0.801608625943815		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G01183			MIR165A	
AT1G01190	-0.195226452494353	0.897568712833414	CYP78A8	cytochrome P450%2C family 78%2C subfamily A%2C polypeptide 8
AT1G01200	-0.543098455886394	0.503141662800464	RABA3	RAB GTPase homolog A3
AT1G01210	-0.783893187382452	0.0149237072079118		DNA-directed RNA polymerase%2C subunit M%2C archaeal
AT1G01220	-0.318094825858476	0.0748706899440452	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01225	0.578750562846018	0.0502576968895201		NC domain-containing protein-like protein
AT1G01230	0.213844207218995	0.152700555508667		ORMDL family protein
AT1G01240	-0.08579069778326	0.814382511092598		transmembrane protein
AT1G01250	-1.43685745635197	0.115189617531531		Integrase-type DNA-binding superfamily protein
AT1G01260	0.169862554963368	0.499984325007711		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01270				
AT1G01280			CYP703A2	cytochrome P450%2C family 703%2C subfamily A%2C polypeptide 2
AT1G01290	-0.145491485829614	0.592864068543482	CNX3	cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01300	-0.443436679087415	0.112608133352309		Eukaryotic aspartyl protease family protein
AT1G01305				hypothetical protein
AT1G01310	1.24474965731312	0.463821101234069		CAP (Cysteine-rich secretory proteins%2C Antigen 5%2C and Pathogenesis-related 1 protein) superfamily protein
AT1G01320	-0.506656995275095	0.0167425768809467		Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01335				auxin-responsive endogenous peptide protein
AT1G01340	-0.328593351503869	0.0636690909351397	CNGC10	cyclic nucleotide gated channel 10
AT1G01350	0.106521187864832	0.721217146323644		Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT1G01355	-0.335969524192205	0.774630380982701		Putative endonuclease or glycosyl hydrolase
AT1G01360	0.343984270921272	0.0685587225794515	RCAR1	regulatory component of ABA receptor 1
AT1G01370	-0.042845466406587	0.962913824933973	HTR12	Histone superfamily protein
AT1G01380	-0.83892558228351	0.504132878764109	ETC1	Homeodomain-like superfamily protein
AT1G01390	-0.680985573583579	0.414905212783593		UDP-Glycosyltransferase superfamily protein
AT1G01400	0.133082586392062	0.986198760615195		hypothetical protein
AT1G01410			PUM22	pumilio 22
AT1G01420	-0.283931053098652	0.540470712516901	UGT72B3	UDP-glucosyl transferase 72B3
AT1G01430	0.13840170210346	0.486184160900339	TBL25	TRICHOME BIREFRINGENCE-LIKE 25
AT1G01440	0.29318021164085	0.0992954196270119		hypothetical protein (DUF3133)
AT1G01448	-0.0733755928769231	0.832851936505374		Natural antisense transcript overlaps with AT1G01450
AT1G01450				Protein kinase superfamily protein
AT1G01453	1.29946003831706	0.170069526124643		late embryogenesis abundant hydroxyproline-rich glycoprotein family protein
AT1G01460	3.52911004004943	0.597089784846432	PIPK11	Phosphatidylinositol-4-phosphate 5-kinase%2C core
AT1G01470	2.0048842844234	1.98346886173151e-10	LEA14	Late embryogenesis abundant protein
AT1G01480	1.20171867130667	0.00487698065491528	ACS2	1-amino-cyclopropane-1-carboxylate synthase 2
AT1G01490	0.0353173033589592	0.940946583330516		Heavy metal transport/detoxification superfamily protein
AT1G01500	-0.143489894725374	0.632631229523975		Erythronate-4-phosphate dehydrogenase family protein
AT1G01510	-0.101858402721958	0.483159861107571	AN	NAD(P)-binding Rossmann-fold superfamily protein
AT1G01520	2.09250005487586	0.0681213615586895	ASG4	Homeodomain-like superfamily protein
AT1G01530	-1.34795443250848	0.830621392802798	AGL28	AGAMOUS-like 28
AT1G01540	0.147729403431184	0.66616656034363		Protein kinase superfamily protein
